MovieID,Title,Genres,AverageRating,MaleAverageRating,FemaleAverageRating,MaleCount,FemaleCount
24,Powder (1995),Drama|Sci-Fi,2.86,2.85,2.89,107.0,19.0
25,Leaving Las Vegas (1995),Drama|Romance,3.18,3.21,3.08,486.0,138.0
26,Othello (1995),Drama,3.65,3.74,3.46,681.0,299.0
27,Now and Then (1995),Drama,3.53,3.51,3.56,68.0,32.0
28,Persuasion (1995),Romance,2.93,2.91,2.95,23.0,38.0
29,City of Lost Children  The (1995),Adventure|Sci-Fi,4.06,3.92,4.13,66.0,113.0
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,4.06,4.06,4.07,335.0,68.0
31,Dangerous Minds (1995),Drama,3.65,3.59,3.88,58.0,16.0
32,Twelve Monkeys (1995),Drama|Sci-Fi,3.11,3.05,3.22,87.0,54.0
33,Wings of Courage (1995),Adventure|Romance,3.95,3.97,3.85,1233.0,278.0
34,Babe (1995),Children's|Comedy|Drama,3.0,3.0,,4.0,0.0
35,Carrington (1995),Drama|Romance,3.89,3.86,3.95,1172.0,579.0
36,Dead Man Walking (1995),Drama,3.31,3.38,3.25,34.0,36.0
37,Across the Sea of Time (1995),Documentary,3.96,3.92,4.03,624.0,304.0
38,It Takes Two (1995),Comedy,3.5,3.0,4.33,5.0,3.0
39,Clueless (1995),Comedy|Romance,2.82,2.43,3.21,14.0,14.0
40,Cry  the Beloved Country (1995),Drama,3.62,3.51,3.83,888.0,474.0
41,Richard III (1995),Drama|War,3.93,3.62,4.29,16.0,14.0
42,Dead Presidents (1995),Action|Crime|Drama,3.96,3.96,3.95,182.0,60.0
43,Restoration (1995),Drama,2.87,2.85,2.94,185.0,36.0
44,Mortal Kombat (1995),Action|Adventure,3.45,3.4,3.5,94.0,72.0
45,To Die For (1995),Comedy|Drama,2.79,2.78,2.81,274.0,37.0
46,How to Make an American Quilt (1995),Drama|Romance,3.42,3.43,3.4,390.0,154.0
47,Seven (Se7en) (1995),Crime|Thriller,3.11,2.86,3.24,58.0,108.0
48,Pocahontas (1995),Animation|Children's|Musical|Romance,4.11,4.14,4.0,875.0,262.0
49,When Night Is Falling (1995),Drama|Romance,2.98,2.85,3.16,225.0,157.0
50,Usual Suspects  The (1995),Crime|Thriller,3.74,3.79,3.69,14.0,13.0
51,Guardian Angel (1994),Action|Drama|Thriller,4.52,4.52,4.51,1370.0,413.0
52,Mighty Aphrodite (1995),Comedy,,,,,
53,Lamerica (1994),Drama,3.64,3.62,3.68,300.0,131.0
54,Big Green  The (1995),Children's|Comedy,4.75,4.67,5.0,6.0,2.0
55,Georgia (1995),Drama,2.56,2.31,3.0,26.0,15.0
56,Kids of the Round Table (1995),Adventure|Children's|Fantasy,3.07,3.12,3.0,24.0,21.0
57,Home for the Holidays (1995),Drama,2.0,2.12,1.0,8.0,1.0
58,Postino  Il (The Postman) (1994),Drama|Romance,3.4,3.28,3.57,57.0,42.0
59,Confessional  The (Le Confessionnal) (1995),Drama|Mystery,4.09,4.07,4.13,302.0,199.0
60,Indian in the Cupboard  The (1995),Adventure|Children's|Fantasy,2.75,3.0,1.0,7.0,1.0
61,Eye for an Eye (1996),Drama|Thriller,3.21,3.18,3.29,251.0,106.0
62,Mr. Holland's Opus (1995),Drama,3.0,2.9,3.15,41.0,26.0
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,3.7,3.67,3.75,363.0,178.0
64,Two if by Sea (1996),Comedy|Romance,2.86,2.86,2.8,96.0,15.0
65,Bio-Dome (1996),Comedy,2.27,2.12,2.41,40.0,39.0
66,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,2.06,2.04,2.17,113.0,30.0
67,Two Bits (1995),Drama,1.67,1.66,1.75,89.0,8.0
68,French Twist (Gazon maudit) (1995),Comedy|Romance,3.25,3.67,2.0,3.0,1.0
69,Friday (1995),Comedy,3.45,3.4,3.52,35.0,25.0
70,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,3.66,3.68,3.57,250.0,69.0
71,Fair Game (1995),Action,3.16,3.23,2.74,774.0,140.0
72,Kicking and Screaming (1995),Comedy|Drama,2.1,2.15,1.67,87.0,9.0
73,Misables  Les (1995),Drama|Musical,3.63,3.67,3.57,63.0,30.0
74,Bed of Roses (1996),Drama|Romance,3.82,3.79,3.87,145.0,79.0
75,Big Bully (1996),Comedy|Drama,2.98,2.89,3.03,46.0,74.0
76,Screamers (1995),Sci-Fi|Thriller,1.92,2.0,1.0,11.0,1.0
77,Nico Icon (1995),Documentary,2.85,2.91,2.4,158.0,20.0
78,Crossing Guard  The (1995),Drama,3.76,3.84,3.56,25.0,9.0
79,Juror  The (1996),Drama|Thriller,3.26,3.33,2.86,43.0,7.0
80,White Balloon  The (Badkonake Sefid ) (1995),Drama,2.61,2.57,2.68,77.0,37.0
81,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance,3.83,3.77,3.91,30.0,22.0
82,Antonia's Line (Antonia) (1995),Drama,3.16,3.24,2.85,133.0,33.0
83,Once Upon a Time... When We Were Colored (1995),Drama,3.88,3.63,4.14,46.0,43.0
84,Last Summer in the Hamptons (1995),Comedy|Drama,3.7,3.76,3.5,25.0,8.0
85,Angels and Insects (1995),Drama|Romance,3.1,2.67,3.67,12.0,9.0
86,White Squall (1996),Adventure|Drama,3.4,3.51,3.26,109.0,85.0
87,Dunston Checks In (1996),Children's|Comedy,3.39,3.43,3.28,182.0,54.0
88,Black Sheep (1996),Comedy,2.21,2.18,2.27,50.0,26.0
89,Nick of Time (1995),Action|Thriller,2.94,2.97,2.8,157.0,35.0
90,Journey of August King  The (1995),Drama,3.07,3.08,3.06,193.0,36.0
92,Mary Reilly (1996),Drama|Thriller,3.67,3.25,4.5,4.0,2.0
93,Vampire in Brooklyn (1995),Comedy|Romance,,,,,
94,Beautiful Girls (1996),Drama,2.34,2.38,2.27,55.0,33.0
95,Broken Arrow (1996),Action|Thriller,2.24,2.19,2.6,79.0,10.0
96,In the Bleak Midwinter (1995),Comedy,3.73,3.8,3.61,110.0,72.0
97,Hate (Haine  La) (1995),Drama,2.88,2.9,2.74,540.0,98.0
98,Shopping (1994),Action|Thriller,3.92,4.14,3.67,7.0,6.0
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,3.75,3.66,4.33,38.0,6.0
100,City Hall (1996),Drama|Thriller,2.0,2.0,2.0,5.0,1.0
101,Bottle Rocket (1996),Comedy,3.46,3.56,3.21,36.0,14.0
102,Mr. Wrong (1996),Comedy,3.06,3.16,2.57,107.0,21.0
103,Unforgettable (1996),Thriller,3.87,3.92,3.6,210.0,43.0
104,Happy Gilmore (1996),Comedy,1.82,1.88,1.67,42.0,18.0
105,Bridges of Madison County  The (1995),Drama|Romance,3.21,3.24,3.12,25.0,8.0
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,3.53,3.57,3.34,542.0,140.0
107,Muppet Treasure Island (1996),Adventure|Children's|Comedy|Musical,3.23,3.17,3.3,203.0,184.0
108,Catwalk (1995),Documentary,3.58,3.12,4.5,8.0,4.0
109,Headless Body in Topless Bar (1995),Comedy,3.15,3.08,3.29,178.0,78.0
110,Braveheart (1995),Action|Drama|War,2.86,3.2,2.0,5.0,2.0
111,Taxi Driver (1976),Drama|Thriller,,,,,
112,Rumble in the Bronx (1995),Action|Adventure|Crime,4.23,4.3,4.02,1897.0,546.0
113,Before and After (1996),Drama|Mystery,4.18,4.2,4.12,989.0,251.0
114,Margaret's Museum (1995),Drama,3.44,3.44,3.49,500.0,70.0
115,Happiness Is in the Field (1995),Comedy,2.98,3.07,2.88,28.0,25.0
116,Anne Frank Remembered (1995),Documentary,3.09,2.6,3.5,5.0,6.0
117,Young Poisoner's Handbook  The (1995),Crime,,,,,
118,If Lucy Fell (1996),Comedy|Romance,4.1,4.12,4.06,25.0,16.0
119,Steal Big  Steal Little (1995),Comedy,3.63,3.53,4.0,62.0,17.0
120,Race the Sun (1996),Drama,3.07,3.14,3.0,36.0,32.0
121,Boys of St. Vincent  The (1993),Drama,2.46,2.3,3.0,10.0,3.0
122,Boomerang (1992),Comedy|Romance,2.67,3.0,2.5,1.0,2.0
123,Chungking Express (1994),Drama|Mystery|Romance,4.05,4.22,3.79,23.0,14.0
124,Star Maker  The (Uomo delle stelle  L') (1995),Drama,2.77,2.79,2.72,140.0,54.0
125,Flirting With Disaster (1996),Comedy,3.87,3.87,3.87,76.0,39.0
126,NeverEnding Story III  The (1994),Adventure|Children's|Fantasy,3.21,3.1,3.5,10.0,4.0
127,Silence of the Palace  The (Saimt el Qusur) (1994),Drama,3.83,3.86,3.75,234.0,84.0
128,Jupiter's Wife (1994),Documentary,1.99,1.85,2.36,71.0,28.0
129,Pie in the Sky (1995),Comedy|Romance,1.0,,1.0,0.0,1.0
130,Angela (1995),Drama,4.33,4.5,4.17,6.0,6.0
131,Frankie Starlight (1995),Drama|Romance,3.31,3.67,3.0,6.0,7.0
132,Jade (1995),Thriller,4.0,5.0,3.0,1.0,1.0
133,Nueba Yol (1995),Comedy|Drama,3.06,3.22,2.86,9.0,7.0
134,Sonic Outlaws (1995),Documentary,2.49,2.54,2.29,74.0,17.0
135,Down Periscope (1996),Comedy,1.0,1.0,,1.0,0.0
136,From the Journals of Jean Seberg (1995),Documentary,4.0,4.0,4.0,1.0,1.0
137,Man of the Year (1995),Documentary,2.81,2.79,2.92,109.0,24.0
138,Neon Bible  The (1995),Drama,3.25,3.0,3.4,3.0,5.0
139,Target (1995),Action|Drama,3.0,3.18,2.0,11.0,2.0
140,Up Close and Personal (1996),Drama|Romance,2.5,4.0,1.0,1.0,1.0
141,Birdcage  The (1996),Comedy,4.0,,4.0,0.0,1.0
142,Shadows (Cienie) (1988),Drama,3.17,2.97,3.33,64.0,75.0
143,Gospa (1995),Drama,3.55,3.45,3.73,444.0,238.0
144,Brothers McMullen  The (1995),Comedy,1.0,1.0,,1.0,0.0
145,Bad Boys (1995),Action,,,,,
146,Amazing Panda Adventure  The (1995),Adventure|Children's,3.39,3.37,3.45,303.0,130.0
147,Basketball Diaries  The (1995),Drama,3.3,3.27,3.56,330.0,32.0
148,Awfully Big Adventure  An (1995),Drama,2.89,2.0,3.6,8.0,10.0
149,Amateur (1994),Crime|Drama|Thriller,3.54,3.49,3.69,133.0,48.0
150,Apollo 13 (1995),Drama,2.78,3.1,2.54,10.0,13.0
151,Rob Roy (1995),Drama|Romance|War,3.79,3.76,3.85,34.0,13.0
152,Addiction  The (1995),Horror,4.07,4.08,4.05,923.0,328.0
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,3.59,3.6,3.55,409.0,145.0
154,Belle de jour (1967),Drama,3.0,3.02,2.95,48.0,21.0
155,Beyond Rangoon (1995),Drama|War,2.64,2.57,2.9,615.0,162.0
156,Blue in the Face (1995),Comedy,3.73,3.74,3.69,123.0,45.0
157,Canadian Bacon (1994),Comedy|War,3.41,3.35,3.56,62.0,25.0
158,Casper (1995),Adventure|Children's,3.56,3.48,3.75,46.0,20.0
159,Clockers (1995),Drama,2.73,2.7,2.9,158.0,29.0
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,2.98,2.84,3.29,180.0,79.0
161,Crimson Tide (1995),Drama|Thriller|War,3.28,3.28,3.31,100.0,16.0
162,Crumb (1994),Documentary,2.24,2.22,2.35,470.0,95.0
163,Desperado (1995),Action|Romance|Thriller,3.72,3.75,3.6,622.0,138.0
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,4.06,4.1,3.94,380.0,111.0
165,Die Hard: With a Vengeance (1995),Action|Thriller,3.46,3.51,3.17,453.0,87.0
166,Doom Generation  The (1995),Comedy|Drama,3.57,3.64,3.39,272.0,107.0
167,Feast of July (1995),Drama,3.56,3.58,3.46,708.0,117.0
168,First Knight (1995),Action|Adventure|Drama|Romance,2.46,2.43,2.57,47.0,14.0
169,Free Willy 2: The Adventure Home (1995),Adventure|Children's|Drama,3.6,3.67,3.5,3.0,2.0
170,Hackers (1995),Action|Crime|Thriller,2.95,2.84,3.18,247.0,115.0
171,Jeffrey (1995),Comedy,2.02,1.89,2.34,81.0,32.0
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,3.15,3.12,3.25,260.0,61.0
173,Judge Dredd (1995),Action|Adventure|Sci-Fi,3.57,3.58,3.54,65.0,28.0
174,Jury Duty (1995),Comedy,2.58,2.57,2.65,403.0,55.0
175,Kids (1995),Drama,2.31,2.3,2.39,494.0,70.0
176,Living in Oblivion (1995),Comedy,2.31,2.32,2.27,66.0,15.0
177,Lord of Illusions (1995),Horror,3.48,3.48,3.48,166.0,54.0
178,Love & Human Remains (1993),Comedy,3.92,3.87,4.06,155.0,50.0
179,Mad Love (1995),Drama|Romance,2.73,2.72,2.81,123.0,16.0
180,Mallrats (1995),Comedy,3.47,3.47,3.5,17.0,2.0
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children's,2.21,2.0,2.33,18.0,30.0
182,Moonlight and Valentino (1995),Drama|Romance,3.55,3.58,3.43,359.0,92.0
183,Mute Witness (1994),Thriller,1.61,1.57,1.78,75.0,18.0
184,Nadja (1994),Drama,3.14,2.6,3.28,10.0,39.0
185,Net  The (1995),Sci-Fi|Thriller,3.48,3.59,3.14,22.0,7.0
186,Nine Months (1995),Comedy,3.35,3.4,3.17,20.0,6.0
187,Party Girl (1995),Comedy,2.87,2.81,3.1,448.0,121.0
188,Prophecy  The (1995),Horror,2.76,2.8,2.7,131.0,80.0
189,Reckless (1995),Comedy,3.24,3.27,3.19,62.0,43.0
190,Safe (1995),Thriller,3.22,3.28,2.97,154.0,36.0
191,Scarlet Letter  The (1995),Drama,3.4,3.67,3.0,9.0,6.0
192,Show  The (1995),Documentary,3.75,3.79,3.64,72.0,28.0
193,Showgirls (1995),Drama,2.47,2.32,2.76,50.0,25.0
194,Smoke (1995),Drama,3.0,4.0,2.0,1.0,1.0
195,Something to Talk About (1995),Comedy|Drama|Romance,2.05,2.17,1.71,162.0,55.0
196,Species (1995),Horror|Sci-Fi,3.76,3.75,3.77,156.0,57.0
197,Stars Fell on Henrietta  The (1995),Drama,2.84,2.68,2.97,71.0,93.0
198,Strange Days (1995),Action|Crime|Sci-Fi,2.82,2.85,2.66,482.0,68.0
199,Umbrellas of Cherbourg  The (Parapluies de Cherbourg  Les) (1964),Drama|Musical,3.06,2.8,3.43,10.0,7.0
200,Tie That Binds  The (1995),Thriller,3.3,3.32,3.12,525.0,80.0
201,Three Wishes (1995),Drama,3.81,3.73,3.93,71.0,46.0
202,Total Eclipse (1995),Drama|Romance,2.42,3.14,1.4,7.0,5.0
203,To Wong Foo  Thanks for Everything! Julie Newmar (1995),Comedy,2.64,2.77,2.36,22.0,11.0
204,Under Siege 2: Dark Territory (1995),Action,2.5,2.48,2.57,23.0,7.0
205,Unstrung Heroes (1995),Comedy|Drama,3.05,2.8,3.49,127.0,76.0
206,Unzipped (1995),Documentary,2.92,2.94,2.78,180.0,23.0
207,Walk in the Clouds  A (1995),Drama|Romance,3.61,3.62,3.61,52.0,33.0
208,Waterworld (1995),Action|Adventure,3.67,3.53,3.9,51.0,31.0
209,White Man's Burden (1995),Drama,3.13,3.15,3.12,99.0,120.0
210,Wild Bill (1995),Western,2.63,2.64,2.59,528.0,123.0
211,Browning Version  The (1994),Drama,2.46,2.41,2.75,44.0,8.0
212,Bushwhacked (1995),Comedy,3.15,3.15,,41.0,0.0
213,Burnt By the Sun (Utomlyonnye solntsem) (1994),Drama,3.56,3.53,3.59,17.0,17.0
214,Before the Rain (Pred dozhdot) (1994),Drama,1.93,1.89,2.0,9.0,5.0
215,Before Sunrise (1995),Drama|Romance,4.06,4.05,4.07,80.0,43.0
216,Billy Madison (1995),Comedy,4.25,4.17,4.6,23.0,5.0
217,Babysitter  The (1995),Drama|Thriller,3.81,3.91,3.68,89.0,71.0
218,Boys on the Side (1995),Comedy|Drama,3.18,3.19,3.14,277.0,78.0
219,Cure  The (1995),Drama,2.62,2.87,2.24,39.0,25.0
220,Castle Freak (1995),Horror,3.13,3.05,3.2,94.0,101.0
222,Circle of Friends (1995),Drama|Romance,3.18,3.45,2.91,11.0,11.0
223,Clerks (1994),Comedy,1.82,1.83,1.75,24.0,4.0
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,,,,,
225,Disclosure (1994),Drama|Thriller,3.55,3.37,3.67,131.0,198.0
226,Dream Man (1995),Thriller,3.95,4.01,3.75,1092.0,320.0
227,Drop Zone (1994),Action,3.39,3.34,3.46,224.0,162.0
228,Destiny Turns on the Radio (1995),Comedy,3.17,3.19,3.12,197.0,57.0
229,Death and the Maiden (1994),Drama|Thriller,2.0,2.0,,1.0,0.0
230,Dolores Claiborne (1994),Drama|Thriller,2.67,2.69,2.54,116.0,13.0
231,Dumb & Dumber (1994),Comedy,2.15,2.25,1.0,12.0,1.0
232,Eat Drink Man Woman (1994),Comedy|Drama,3.5,3.52,3.42,82.0,26.0
233,Exotica (1994),Drama,3.45,3.47,3.42,231.0,118.0
234,Exit to Eden (1994),Comedy,3.19,3.34,2.7,511.0,149.0
235,Ed Wood (1994),Comedy|Drama,4.08,4.06,4.1,200.0,146.0
236,French Kiss (1995),Comedy|Romance,3.61,3.56,3.87,197.0,38.0
237,Forget Paris (1995),Comedy|Romance,2.22,2.19,2.33,114.0,33.0
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children's,3.7,3.73,3.6,694.0,233.0
239,Goofy Movie  A (1995),Animation|Children's|Comedy|Romance,3.3,3.06,3.54,158.0,168.0
240,Hideaway (1995),Thriller,2.97,2.94,3.03,156.0,101.0
241,Fluke (1995),Children's|Drama,2.81,2.6,3.17,20.0,12.0
242,Farinelli: il castrato (1994),Drama|Musical,2.88,2.8,3.04,116.0,52.0
243,Gordy (1995),Comedy,2.71,2.85,2.27,34.0,11.0
244,Gumby: The Movie (1995),Animation|Children's,3.31,3.31,3.31,16.0,13.0
245,Glass Shield  The (1994),Crime|Drama,3.5,3.43,3.61,47.0,33.0
246,Hoop Dreams (1994),Documentary,2.1,1.88,3.0,8.0,2.0
247,Heavenly Creatures (1994),Drama|Fantasy|Romance|Thriller,1.9,1.88,2.0,8.0,2.0
248,Houseguest (1994),Comedy,3.0,3.14,2.75,7.0,4.0
249,Immortal Beloved (1994),Drama|Romance,4.19,4.17,4.27,554.0,162.0
250,Heavyweights (1994),Children's|Comedy,3.87,3.84,3.9,301.0,176.0
251,Hunted  The (1995),Action,2.91,2.88,2.96,85.0,53.0
252,I.Q. (1994),Comedy|Romance,3.76,3.71,3.84,160.0,101.0
253,Interview with the Vampire (1994),Drama|Horror,2.6,2.73,2.25,22.0,8.0
254,Jefferson in Paris (1995),Drama,3.28,3.19,4.0,16.0,2.0
255,Jerky Boys  The (1994),Comedy,3.27,3.25,3.31,223.0,144.0
256,Junior (1994),Comedy|Sci-Fi,3.52,3.53,3.5,559.0,179.0
257,Just Cause (1995),Mystery|Thriller,3.08,3.0,3.21,24.0,14.0
258,Kid in King Arthur's Court  A (1995),Adventure|Children's|Comedy|Fantasy|Romance,2.06,2.08,1.75,62.0,4.0
259,Kiss of Death (1995),Crime|Drama|Thriller,2.65,2.61,2.78,164.0,54.0
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,3.23,3.13,3.54,86.0,28.0
261,Little Women (1994),Drama,2.42,2.28,2.8,104.0,40.0
262,Little Princess  A (1995),Children's|Drama,2.84,2.85,2.8,87.0,15.0
263,Ladybird Ladybird (1994),Drama,4.45,4.5,4.3,2344.0,647.0
264,Enfer  L' (1994),Drama,3.65,3.32,3.87,115.0,170.0
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Romance,3.87,3.96,3.81,73.0,99.0
266,Legends of the Fall (1994),Drama|Romance|War|Western,3.86,3.79,4.0,19.0,9.0
267,Major Payne (1994),Comedy,3.2,3.75,1.0,4.0,1.0
268,Little Odessa (1994),Drama,3.93,3.82,4.08,430.0,342.0
269,My Crazy Life (Mi vida loca) (1993),Drama,3.43,3.39,3.5,483.0,222.0
270,Love Affair (1994),Drama|Romance,2.73,2.65,3.0,109.0,31.0
271,Losing Isaiah (1995),Drama,3.37,3.35,3.5,46.0,8.0
272,Madness of King George  The (1994),Drama,3.53,3.44,3.61,27.0,28.0
273,Mary Shelley's Frankenstein (1994),Drama|Horror,3.04,2.74,3.16,23.0,56.0
274,Man of the House (1995),Comedy,3.14,3.0,3.29,32.0,31.0
275,Mixed Nuts (1994),Comedy,3.73,3.72,3.75,253.0,130.0
276,Milk Money (1994),Comedy|Romance,2.9,2.86,3.04,194.0,50.0
277,Miracle on 34th Street (1994),Drama,2.38,2.4,2.33,15.0,9.0
278,Miami Rhapsody (1995),Comedy,2.54,2.55,2.5,56.0,24.0
279,My Family (1995),Drama,2.69,2.69,2.7,137.0,91.0
280,Murder in the First (1995),Drama|Thriller,3.18,3.12,3.3,110.0,60.0
281,Nobody's Fool (1994),Drama,2.75,2.64,2.93,25.0,15.0
282,Nell (1994),Drama,3.72,3.67,3.76,21.0,25.0
283,New Jersey Drive (1995),Crime|Drama,3.57,3.58,3.55,152.0,60.0
284,New York Cop (1996),Action|Crime,3.65,3.7,3.54,162.0,71.0
285,Beyond Bedlam (1993),Drama|Horror,3.22,3.02,3.51,125.0,90.0
286,Nemesis 2: Nebula (1995),Action|Sci-Fi|Thriller,3.0,3.14,2.5,14.0,4.0
287,Nina Takes a Lover (1994),Comedy|Romance,,,,,
288,Natural Born Killers (1994),Action|Thriller,,,,,
289,Only You (1994),Comedy|Romance,3.0,,3.0,0.0,1.0
290,Once Were Warriors (1994),Crime|Drama,2.9,2.64,3.43,14.0,7.0
291,Poison Ivy II (1995),Thriller,3.14,3.13,3.19,586.0,114.0
292,Outbreak (1995),Action|Drama|Thriller,3.34,3.15,3.49,68.0,90.0
293,Professional  The (a.k.a. Leon: The Professional) (1994),Crime|Drama|Romance|Thriller,3.92,3.83,4.16,123.0,45.0
294,Perez Family  The (1995),Comedy|Romance,2.21,2.21,2.22,39.0,9.0
295,Pyromaniac's Love Story  A (1995),Comedy|Romance,3.27,3.26,3.3,588.0,145.0
296,Pulp Fiction (1994),Crime|Drama,4.11,4.14,3.97,733.0,190.0
297,Panther (1995),Drama,3.1,3.0,3.21,23.0,19.0
298,Pushing Hands (1992),Comedy,2.76,2.89,2.5,19.0,10.0
299,Priest (1994),Drama,4.28,4.35,4.07,1629.0,542.0
300,Quiz Show (1994),Drama,3.11,2.92,4.67,25.0,3.0
301,Picture Bride (1995),Drama|Romance,3.91,3.6,4.15,10.0,13.0
302,Queen Margot (La Reine Margot) (1994),Drama|Romance,3.66,3.62,3.83,114.0,29.0
303,Quick and the Dead  The (1995),Action|Adventure|Western,3.76,3.77,3.73,511.0,194.0
304,Roommates (1995),Comedy|Drama,3.3,3.25,3.37,24.0,19.0
305,Ready to Wear (Pret-A-Porter) (1994),Comedy,3.81,3.68,3.92,38.0,48.0
306,Three Colors: Red (1994),Drama,2.98,2.97,3.04,371.0,47.0
307,Three Colors: Blue (1993),Drama,3.14,3.23,2.89,26.0,9.0
308,Three Colors: White (1994),Drama,2.5,2.53,2.45,85.0,42.0
309,Red Firecracker  Green Firecracker (1994),Drama,4.23,4.22,4.24,219.0,115.0
310,Rent-a-Kid (1995),Comedy,4.1,4.09,4.11,160.0,83.0
311,Relative Fear (1994),Horror|Thriller,3.97,3.95,3.99,133.0,69.0
312,Stuart Saves His Family (1995),Comedy,3.69,3.75,3.62,24.0,24.0
313,Swan Princess  The (1994),Animation|Children's,2.67,3.0,2.33,3.0,3.0
314,Secret of Roan Inish  The (1994),Drama,3.0,3.0,,1.0,0.0
315,Specialist  The (1994),Action,2.44,2.41,2.54,88.0,24.0
316,Stargate (1994),Action|Adventure|Sci-Fi,2.89,2.8,3.0,30.0,24.0
317,Santa Clause  The (1994),Children's|Comedy|Fantasy,3.85,3.82,3.89,186.0,114.0
318,Shawshank Redemption  The (1994),Drama,2.65,2.65,2.71,139.0,14.0
319,Shallow Grave (1994),Thriller,3.49,3.47,3.6,940.0,176.0
320,Suture (1993),Film-Noir|Thriller,3.19,3.13,3.33,452.0,189.0
321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,4.55,4.56,4.54,1600.0,627.0
322,Swimming with Sharks (1995),Comedy|Drama,3.89,3.9,3.89,200.0,73.0
324,Sum of Us  The (1994),Comedy,3.41,3.22,3.89,23.0,9.0
325,National Lampoon's Senior Trip (1995),Comedy,3.75,3.81,3.67,37.0,24.0
326,To Live (Huozhe) (1994),Drama,3.71,3.71,3.74,167.0,42.0
327,Tank Girl (1995),Action|Comedy|Musical|Sci-Fi,,,,,
328,Tales From the Crypt Presents: Demon Knight (1995),Horror,3.97,3.89,4.33,27.0,6.0
329,Star Trek: Generations (1994),Action|Adventure|Sci-Fi,2.45,2.56,1.67,43.0,6.0
330,Tales from the Hood (1995),Comedy|Horror,4.34,4.33,4.38,45.0,16.0
331,Tom & Viv (1994),Drama,2.61,2.54,2.9,287.0,71.0
332,Village of the Damned (1995),Horror|Sci-Fi,3.11,3.13,3.0,127.0,17.0
333,Tommy Boy (1995),Comedy,3.38,3.34,3.55,821.0,169.0
334,Vanya on 42nd Street (1994),Drama,2.73,2.68,3.11,130.0,19.0
335,Underneath  The (1995),Mystery|Thriller,3.1,3.06,3.2,16.0,5.0
336,Walking Dead  The (1995),Drama|War,2.55,2.57,2.47,125.0,36.0
337,What's Eating Gilbert Grape (1993),Drama,3.5,3.59,3.17,328.0,82.0
338,Virtuosity (1995),Sci-Fi|Thriller,3.86,3.92,3.74,75.0,39.0
339,While You Were Sleeping (1995),Comedy|Romance,3.49,3.45,3.62,33.0,8.0
340,War  The (1994),Adventure|Drama,2.68,2.68,,19.0,0.0
