record_id,timestamp,location,temperature,smoke_level,carbon_monoxide
126,2023-06-12T04:13:19Z,Isaacs,25.5,221,35.0
127,2019-08-29T04:13:19Z,Belconnen,96.3,39,59.9
128,2023-03-01T04:13:19Z,Acton,85.3,40,66.4
129,2024-01-03T04:13:19Z,Greenway,18.9,31,85.6
130,2021-04-01T04:13:19Z,Hawker,76.5,240,51.4
131,2017-06-13T04:13:19Z,Narrabundah,76.7,231,59.2
132,2017-03-21T04:13:19Z,Lawson,21.2,254,95.4
133,2018-03-30T04:13:19Z,Fyshwick,79.9,19,2.6
134,2015-10-02T04:13:19Z,Torrens,37.7,106,30.8
135,2014-11-03T04:13:19Z,Molonglo,52.2,184,30.8
136,2022-08-14T04:13:19Z,Griffith,95.7,41,51.9
137,2022-03-23T04:13:19Z,Holt,98.7,248,37.6
138,2020-04-10T04:13:19Z,Latham,91.8,120,91.1
139,2020-11-29T04:13:19Z,McKellar,69.7,161,37.0
140,2023-06-18T04:13:19Z,Pialligo,26.0,300,73.7
141,2020-06-19T04:13:19Z,Calwell,20.0,166,69.0
142,2023-08-09T04:13:19Z,Flynn,44.2,136,50.2
143,2018-12-20T04:13:19Z,Braddon,64.9,184,7.2
144,2021-02-18T04:13:19Z,Pearce,99.0,28,13.8
145,2023-05-02T04:13:19Z,Braddon,65.3,125,69.3
146,2022-09-13T04:13:19Z,Harrison,46.5,284,7.3
147,2018-03-14T04:13:19Z,Bonner,96.6,288,97.2
148,2016-11-21T04:13:19Z,Curtin,51.0,263,84.5
149,2024-09-21T04:13:19Z,Lyneham,88.4,163,73.0
150,2018-04-30T04:13:19Z,Theodore,76.9,188,75.0
151,2023-06-09T04:13:19Z,Braddon,18.7,214,66.9
152,2023-10-30T04:13:19Z,Macquarie,20.5,17,77.9
153,2015-12-20T04:13:19Z,Lawson,75.1,136,16.1
154,2023-10-05T04:13:19Z,Parkes,32.2,245,84.5
155,2022-12-30T04:13:19Z,Giralang,42.2,175,69.1
156,2016-05-01T04:13:19Z,Moncrieff,71.0,181,66.6
157,2024-03-26T04:13:19Z,Molonglo,17.6,179,89.1
158,2014-10-06T04:13:19Z,Charnwood,85.6,269,19.8
159,2014-12-25T04:13:19Z,Isaacs,18.1,113,48.7
160,2019-08-16T04:13:19Z,Stirling,89.7,33,92.7
161,2023-01-05T04:13:19Z,Ngunnawal,99.3,209,63.0
162,2023-08-31T04:13:19Z,Kaleen,39.1,190,67.3
163,2017-03-26T04:13:19Z,Narrabundah,91.1,149,7.6
164,2024-03-07T04:13:19Z,Taylor,27.1,51,79.8
165,2021-02-21T04:13:19Z,Molonglo,82.6,235,23.5
166,2023-12-27T04:13:19Z,Fadden,73.7,93,54.8
167,2014-12-05T04:13:19Z,Gilmore,50.0,250,45.0
168,2017-08-05T04:13:19Z,Kaleen,27.5,105,58.6
169,2017-09-30T04:13:19Z,Bruce,40.6,43,98.5
170,2015-01-10T04:13:19Z,Jacka,64.7,43,34.0
171,2019-09-19T04:13:19Z,Ainslie,56.8,284,66.9
172,2022-03-06T04:13:19Z,Gilmore,65.9,3,59.9
173,2022-02-04T04:13:19Z,Braddon,59.6,210,1.5
174,2015-02-02T04:13:19Z,Bonython,30.0,38,73.9
175,2022-08-22T04:13:19Z,Greenway,25.7,174,21.5
176,2018-01-10T04:13:19Z,Acton,17.3,96,65.0
177,2019-01-13T04:13:19Z,Jacka,85.2,252,6.4
178,2018-07-16T04:13:19Z,Bruce,82.8,105,92.4
179,2017-08-01T04:13:19Z,Stirling,84.7,168,8.3
180,2018-01-26T04:13:19Z,Denman Prospect,54.5,212,27.6
181,2021-06-21T04:13:19Z,Spence,35.3,258,43.4
182,2023-07-05T04:13:19Z,Conder,47.9,181,66.7
183,2023-05-01T04:13:19Z,Gordon,67.7,230,2.7
184,2016-03-28T04:13:19Z,Campbell,85.0,98,12.4
185,2021-05-02T04:13:19Z,Curtin,31.6,215,40.1
186,2015-09-10T04:13:19Z,Pialligo,30.0,139,43.2
187,2020-10-02T04:13:19Z,Kambah,89.9,283,31.1
188,2022-10-03T04:13:19Z,Russell,83.8,149,30.9
189,2018-07-15T04:13:19Z,Acton,66.6,99,15.6
190,2015-09-01T04:13:19Z,Giralang,95.1,291,57.6
191,2022-08-05T04:13:19Z,Monash,88.2,46,22.0
192,2016-07-02T04:13:19Z,Isaacs,64.7,21,6.6
193,2016-04-18T04:13:19Z,Moncrieff,45.2,60,16.7
194,2018-06-18T04:13:19Z,Beard,97.0,281,11.5
195,2023-12-16T04:13:19Z,Hawker,55.0,37,35.8
196,2015-09-08T04:13:19Z,Torrens,23.0,98,2.2
197,2021-05-21T04:13:19Z,Rivett,96.4,170,81.7
198,2018-08-29T04:13:19Z,Gowrie,43.5,56,82.6
199,2018-10-04T04:13:19Z,O'Connor,58.7,172,82.7
200,2018-03-29T04:13:19Z,Kenny,28.8,42,0.8
201,2020-08-12T04:13:19Z,Taylor,76.7,8,33.5
202,2021-06-20T04:13:19Z,Deakin,32.1,34,26.7
203,2014-10-14T04:13:19Z,Melba,53.9,116,34.5
204,2022-05-06T04:13:19Z,Kingston,98.2,198,42.8
205,2018-04-25T04:13:19Z,Chisholm,91.3,231,55.1
206,2021-02-25T04:13:19Z,Gordon,62.7,174,1.3
207,2021-07-27T04:13:19Z,Calwell,23.6,20,69.3
208,2017-01-10T04:13:19Z,Forrest,72.7,0,55.7
209,2015-05-15T04:13:19Z,Dunlop,41.0,60,53.0
210,2015-07-11T04:13:19Z,Fraser,25.0,231,12.2
211,2023-03-06T04:13:19Z,Macquarie,45.7,15,35.3
212,2020-05-11T04:13:19Z,Barton,41.7,67,8.7
213,2021-10-26T04:13:19Z,Gowrie,84.2,132,69.8
214,2019-11-01T04:13:19Z,Reid,32.2,88,80.7
215,2014-12-21T04:13:19Z,Giralang,57.8,142,45.5
216,2023-09-08T04:13:19Z,Parkes,86.7,172,19.7
217,2017-10-25T04:13:19Z,Pearce,85.5,78,97.7
218,2021-12-21T04:13:19Z,Nicholls,15.3,300,29.0
219,2022-01-30T04:13:19Z,Mitchell,64.5,259,67.1
220,2015-04-17T04:13:19Z,Wright,54.5,49,30.7
221,2020-04-04T04:13:19Z,Deakin,62.3,3,42.3
222,2016-07-20T04:13:19Z,Garran,98.5,244,58.1
223,2019-01-04T04:13:19Z,Spence,45.9,29,4.7
224,2015-09-14T04:13:19Z,Conder,57.1,42,21.5
225,2016-10-10T04:13:19Z,Weetangera,27.2,239,62.7
226,2023-09-07T04:13:19Z,Fisher,31.4,22,21.9
227,2016-03-15T04:13:19Z,Oaks Estate,83.6,179,14.0
228,2023-06-05T04:13:19Z,Pearce,56.3,89,98.2
229,2016-10-04T04:13:19Z,Latham,75.3,6,89.2
230,2016-12-01T04:13:19Z,Campbell,18.3,192,13.0
231,2014-12-01T04:13:19Z,Spence,94.7,146,67.9
232,2019-05-22T04:13:19Z,Fraser,63.9,4,29.6
233,2015-12-15T04:13:19Z,Chifley,39.8,90,72.8
234,2020-12-16T04:13:19Z,Florey,52.0,175,53.6
235,2016-05-04T04:13:19Z,Macquarie,53.8,205,84.6
236,2019-05-29T04:13:19Z,Watson,83.8,27,6.3
237,2023-11-25T04:13:19Z,Franklin,27.0,82,78.2
238,2018-05-01T04:13:19Z,Curtin,38.3,241,45.0
239,2016-02-06T04:13:19Z,Ngunnawal,46.9,248,9.0
240,2019-08-15T04:13:19Z,Weston,65.3,198,47.3
241,2018-02-08T04:13:19Z,Harrison,21.4,38,65.6
242,2020-10-07T04:13:19Z,McKellar,92.4,91,20.2
243,2023-01-28T04:13:19Z,Rivett,19.0,67,57.4
244,2016-01-04T04:13:19Z,Page,18.0,299,47.6
245,2022-05-31T04:13:19Z,Gowrie,38.5,217,90.9
246,2020-09-03T04:13:19Z,Mitchell,54.7,79,95.4
247,2017-11-26T04:13:19Z,Calwell,24.9,23,22.0
248,2023-05-11T04:13:19Z,Scullin,73.9,299,76.5
249,2024-09-17T04:13:19Z,Florey,60.7,207,0.8
250,2017-11-05T04:13:19Z,Coombs,27.2,88,18.3
251,2017-09-20T04:13:19Z,Reid,62.8,55,34.8
252,2019-12-29T04:13:19Z,Lyneham,43.2,116,11.5
253,2021-02-10T04:13:19Z,Beard,77.3,141,67.0
254,2022-10-15T04:13:19Z,Uriarra Village,93.5,198,47.4
255,2019-04-12T04:13:19Z,Fraser,91.1,168,65.0
256,2022-10-17T04:13:19Z,Melba,83.0,191,28.6
257,2021-09-24T04:13:19Z,Bonython,72.4,259,29.6
258,2019-05-04T04:13:19Z,Mitchell,20.7,273,28.4
259,2017-06-03T04:13:19Z,Hawker,53.6,232,80.8
260,2020-09-21T04:13:19Z,Scullin,91.9,244,9.9
261,2023-08-08T04:13:19Z,City,64.0,148,98.0
262,2024-07-27T04:13:19Z,Yarralumla,60.8,202,7.3
263,2023-05-22T04:13:19Z,Cook,56.5,253,9.9
264,2016-12-13T04:13:19Z,Isabella Plains,97.9,255,65.9
265,2020-02-25T04:13:19Z,Barton,17.2,297,62.4
266,2015-09-11T04:13:19Z,Russell,42.9,221,80.6
267,2015-01-18T04:13:19Z,Holt,29.7,235,66.7
268,2017-05-13T04:13:19Z,O'Malley,74.8,128,64.4
269,2023-05-02T04:13:19Z,Aranda,22.9,128,97.8
270,2016-06-10T04:13:19Z,Uriarra Village,85.4,198,93.5
271,2022-12-05T04:13:19Z,Cook,56.8,175,62.7
272,2015-01-31T04:13:19Z,Chisholm,55.4,43,74.7
273,2016-03-04T04:13:19Z,Uriarra Village,28.5,91,8.4
274,2024-02-03T04:13:19Z,Farrer,99.3,80,27.3
275,2017-12-25T04:13:19Z,Weston,25.9,278,96.6
276,2021-08-05T04:13:19Z,Conder,86.0,98,45.7
277,2020-10-18T04:13:19Z,Melba,52.3,72,36.0
278,2018-01-17T04:13:19Z,Deakin,66.2,222,8.7
279,2022-08-08T04:13:19Z,Macquarie,52.1,55,59.6
280,2019-07-20T04:13:19Z,Nicholls,88.5,275,72.2
281,2017-12-11T04:13:19Z,Theodore,40.5,43,61.4
282,2016-11-11T04:13:19Z,Turner,94.4,82,2.0
283,2022-05-27T04:13:19Z,Narrabundah,22.1,78,69.7
284,2024-09-02T04:13:19Z,Curtin,29.4,235,20.3
285,2016-08-31T04:13:19Z,Conder,83.4,119,40.3
286,2020-04-03T04:13:19Z,Latham,36.1,13,6.9
287,2020-10-12T04:13:19Z,Jacka,45.4,175,19.3
288,2022-01-10T04:13:19Z,Chifley,37.7,102,72.6
289,2017-08-13T04:13:19Z,Throsby,23.3,89,76.9
290,2022-09-05T04:13:19Z,Gowrie,49.9,82,6.3
291,2020-11-04T04:13:19Z,Phillip,31.0,89,59.2
292,2015-05-08T04:13:19Z,Fadden,49.4,172,39.3
293,2015-02-07T04:13:19Z,Greenway,80.1,31,39.6
294,2024-08-28T04:13:19Z,O'Malley,50.4,102,83.8
295,2018-07-25T04:13:19Z,Harrison,32.8,137,60.9
296,2019-06-13T04:13:19Z,Campbell,34.6,35,33.5
297,2015-02-21T04:13:19Z,Uriarra Village,50.8,4,32.1
298,2022-05-31T04:13:19Z,Macarthur,32.3,223,21.8
299,2020-02-28T04:13:19Z,Pearce,27.2,252,49.2
300,2021-03-29T04:13:19Z,Holt,22.2,203,2.4
301,2017-07-13T04:13:19Z,Beard,71.0,51,5.3
302,2015-02-28T04:13:19Z,Gowrie,26.8,133,15.6
303,2018-09-14T04:13:19Z,Hall,70.2,3,29.8
304,2021-04-25T04:13:19Z,Wright,59.9,93,71.1
305,2024-01-03T04:13:19Z,Bonner,97.4,130,8.0
306,2021-12-30T04:13:19Z,Lyons,87.0,144,67.3
307,2021-08-31T04:13:19Z,Amaroo,47.1,15,31.5
308,2014-10-04T04:13:19Z,Denman Prospect,78.9,23,20.2
309,2021-06-02T04:13:19Z,Watson,92.0,260,66.6
310,2018-09-22T04:13:19Z,Chisholm,87.7,37,22.1
311,2021-09-08T04:13:19Z,Ngunnawal,95.7,10,21.6
312,2017-03-08T04:13:19Z,Acton,76.4,81,99.8
313,2018-06-15T04:13:19Z,Charnwood,77.9,199,73.8
314,2021-09-20T04:13:19Z,Macnamara,34.2,37,51.9
315,2020-04-14T04:13:19Z,Cook,83.1,80,14.9
316,2015-07-07T04:13:19Z,Duffy,85.9,283,7.1
317,2021-08-10T04:13:19Z,Griffith,25.4,130,90.1
318,2019-05-10T04:13:19Z,Latham,34.8,129,34.9
319,2021-12-11T04:13:19Z,Lyons,40.4,221,5.1
320,2017-08-17T04:13:19Z,Pialligo,75.8,87,9.5
321,2019-09-06T04:13:19Z,McKellar,88.7,119,84.6
322,2015-04-07T04:13:19Z,Nicholls,24.0,196,4.0
323,2019-04-01T04:13:19Z,Whitlam,23.4,223,53.3
324,2018-05-07T04:13:19Z,Yarralumla,93.6,95,50.5
325,2021-09-16T04:13:19Z,Macquarie,52.5,244,82.5
326,2020-03-08T04:13:19Z,Nicholls,57.3,191,99.2
327,2024-06-28T04:13:19Z,Amaroo,45.9,221,38.3
328,2018-09-04T04:13:19Z,Isabella Plains,38.8,192,79.2
329,2020-06-17T04:13:19Z,Wright,56.1,197,72.0
330,2023-03-27T04:13:19Z,Palmerston,70.0,17,84.0
331,2021-06-25T04:13:19Z,Duffy,96.5,237,2.1
332,2020-06-13T04:13:19Z,Fyshwick,60.4,126,73.7
333,2020-11-06T04:13:19Z,Banks,23.4,116,33.8
334,2018-01-30T04:13:19Z,Wright,21.1,237,17.5
335,2024-04-21T04:13:19Z,Weetangera,31.8,63,82.0
336,2019-01-15T04:13:19Z,Downer,67.6,0,80.8
337,2018-11-18T04:13:19Z,Weston,22.2,32,43.8
338,2023-05-27T04:13:19Z,Stirling,30.0,27,92.6
339,2017-11-06T04:13:19Z,Dunlop,23.2,173,25.3
340,2017-05-02T04:13:19Z,Dunlop,15.1,1,45.9
341,2021-09-09T04:13:19Z,Lawson,80.3,36,75.9
342,2024-04-25T04:13:19Z,Turner,27.8,22,34.8
343,2016-05-13T04:13:19Z,Kenny,58.1,235,85.4
344,2015-08-24T04:13:19Z,Hall,87.7,150,88.1
345,2019-03-26T04:13:19Z,Conder,22.7,211,48.0
346,2020-12-21T04:13:19Z,Bonython,80.3,50,18.8
347,2021-06-06T04:13:19Z,Duffy,94.8,125,45.6
348,2015-02-04T04:13:19Z,Taylor,65.3,237,53.0
349,2016-10-05T04:13:19Z,Duffy,67.2,167,37.7
350,2023-12-31T04:13:19Z,Florey,20.1,48,73.4
351,2021-01-05T04:13:19Z,Narrabundah,84.7,97,98.8
352,2018-08-07T04:13:19Z,Watson,29.0,208,9.7
353,2022-11-26T04:13:19Z,Calwell,26.9,61,24.0
354,2015-01-26T04:13:19Z,Calwell,60.1,175,38.2
355,2016-03-26T04:13:19Z,Moncrieff,63.1,166,47.6
356,2020-07-14T04:13:19Z,Braddon,93.4,220,45.3
357,2022-03-28T04:13:19Z,Macgregor,52.3,228,79.3
358,2015-07-21T04:13:19Z,Oxley,25.9,298,4.3
359,2018-02-25T04:13:19Z,Banks,72.7,225,4.7
360,2014-11-02T04:13:19Z,Yarralumla,97.2,37,11.2
361,2024-05-20T04:13:19Z,McKellar,21.5,198,42.4
362,2022-09-19T04:13:19Z,Chisholm,41.0,265,86.8
363,2019-10-02T04:13:19Z,Theodore,33.1,245,85.3
364,2022-10-26T04:13:19Z,Curtin,20.1,227,87.4
365,2020-01-29T04:13:19Z,Macquarie,51.0,31,29.7
366,2018-08-16T04:13:19Z,Watson,28.1,179,89.5
367,2016-11-24T04:13:19Z,Dickson,15.7,286,79.1
368,2017-02-17T04:13:19Z,Narrabundah,49.7,212,60.3
369,2018-12-08T04:13:19Z,Uriarra Village,36.0,250,25.0
370,2021-08-10T04:13:19Z,Stirling,22.0,241,63.9
371,2019-10-28T04:13:19Z,Gungahlin,66.0,293,19.4
372,2024-02-08T04:13:19Z,Ngunnawal,57.8,137,40.0
373,2014-10-27T04:13:19Z,Waramanga,92.1,257,1.2
374,2017-06-28T04:13:19Z,Franklin,51.6,13,28.7
375,2016-12-10T04:13:19Z,Pearce,94.0,194,59.9
376,2015-10-10T04:13:19Z,Braddon,85.3,68,26.9
377,2024-03-11T04:13:19Z,Lyons,50.5,146,82.4
378,2021-07-28T04:13:19Z,Jacka,85.9,10,18.2
379,2016-02-28T04:13:19Z,Coombs,71.6,128,91.9
380,2020-10-18T04:13:19Z,Kambah,32.1,264,17.5
381,2020-11-17T04:13:19Z,Gungahlin,74.0,108,23.8
382,2018-02-05T04:13:19Z,Giralang,37.4,233,19.2
383,2020-08-31T04:13:19Z,Mitchell,30.9,202,78.9
384,2020-09-24T04:13:19Z,Fadden,90.0,198,35.5
385,2022-09-30T04:13:19Z,Amaroo,54.5,199,48.0
386,2023-02-09T04:13:19Z,Fisher,71.4,15,13.2
387,2017-09-26T04:13:19Z,Throsby,61.1,272,7.8
388,2020-05-21T04:13:19Z,Duffy,87.0,266,62.9
389,2016-07-18T04:13:19Z,Isabella Plains,85.5,81,85.5
390,2023-05-03T04:13:19Z,Harrison,17.4,49,95.2
391,2018-10-18T04:13:19Z,Bonython,34.3,98,5.0
392,2018-11-14T04:13:19Z,Coombs,73.8,147,2.4
393,2019-11-07T04:13:19Z,Gowrie,56.6,36,58.2
394,2017-03-06T04:13:19Z,Pialligo,24.9,20,28.3
395,2019-10-18T04:13:19Z,Curtin,74.7,275,59.9
396,2018-05-12T04:13:19Z,Page,49.4,215,82.3
397,2023-12-19T04:13:19Z,Red Hill,83.0,24,45.8
398,2018-11-13T04:13:19Z,Taylor,20.7,59,99.3
399,2017-07-02T04:13:19Z,O'Connor,99.1,247,69.8
400,2023-11-07T04:13:19Z,Lyons,53.9,94,70.2
401,2021-05-30T04:13:19Z,Oxley,48.2,94,36.4
402,2023-07-07T04:13:19Z,Gilmore,27.8,184,74.5
403,2022-12-10T04:13:19Z,Kambah,52.3,173,84.0
404,2016-11-11T04:13:19Z,Downer,50.6,6,10.1
405,2019-11-13T04:13:19Z,Gungahlin,51.7,286,17.2
406,2020-03-16T04:13:19Z,Macarthur,63.3,150,92.8
407,2018-01-02T04:13:19Z,Downer,53.4,100,76.2
408,2023-02-07T04:13:19Z,Evatt,58.9,32,79.4
409,2014-12-13T04:13:19Z,Rivett,17.3,37,38.3
410,2018-10-11T04:13:19Z,Duffy,48.3,70,78.0
411,2015-03-08T04:13:19Z,City,31.3,227,33.4
412,2021-03-31T04:13:19Z,Lawson,52.5,230,61.8
413,2016-07-08T04:13:19Z,Isaacs,91.9,175,85.7
414,2018-09-18T04:13:19Z,Bonner,53.0,252,18.2
415,2022-04-05T04:13:19Z,Weston,48.2,189,34.6
416,2023-02-14T04:13:19Z,Aranda,75.1,246,81.7
417,2023-03-19T04:13:19Z,Scullin,87.4,256,33.8
418,2024-09-08T04:13:19Z,Denman Prospect,22.1,119,64.9
419,2019-05-21T04:13:19Z,Pearce,93.8,275,73.1
420,2019-09-27T04:13:19Z,Reid,34.7,190,52.7
421,2022-08-27T04:13:19Z,Latham,77.7,93,96.6
422,2015-03-21T04:13:19Z,Rivett,68.1,112,48.1
423,2020-05-12T04:13:19Z,Cook,44.5,246,20.2
424,2019-04-09T04:13:19Z,Macnamara,81.7,0,56.9
425,2021-11-05T04:13:19Z,Chapman,76.8,262,53.5
426,2017-03-13T04:13:19Z,City,17.8,191,82.3
427,2022-11-19T04:13:19Z,Dunlop,94.8,31,83.6
428,2020-08-15T04:13:19Z,Lawson,42.9,263,50.1
429,2021-08-12T04:13:19Z,O'Connor,96.4,38,23.5
430,2023-09-22T04:13:19Z,Fraser,79.2,210,9.6
431,2023-06-07T04:13:19Z,Mitchell,84.6,35,53.0
432,2024-07-19T04:13:19Z,Weston,50.7,107,54.4
